Node,Label,Community,degree,betweenness,closeness,eigenvector,core,Mito
n61,HOG0002503,0,0.03634085213032581,0.0010830899261583256,0.3555621565424031,0.00048053677096198056,45,False
n62,HOG0002529,1,0.042606516290726815,0.00040729807411782435,0.3488270435669532,0.00011230670512006788,45,False
n63,HOG0002530,1,0.01921470342522974,0.0009576317607322424,0.34263632460283383,0.00025666700832169194,29,False
n64,HOG0002558,1,0.005012531328320802,0.002354071742618863,0.3014733660748017,1.0751932771537084e-05,7,False
n65,HOG0002567,2,0.007518796992481203,0.00047556035978920936,0.3288009888751545,0.0024154855066905075,15,False
n66,HOG0002587,2,0.007101086048454469,0.0001944897234595971,0.3083065035415325,0.0002621897623216475,14,False
n67,HOG0002621,5,0.01796157059314954,0.0006653506597372018,0.328125,0.0014311783087043004,24,False
n68,HOG0002630,1,0.012531328320802004,0.001036450003809398,0.3350594821553534,0.0002668452527953231,19,False
n69,HOG0002655,0,0.021303258145363407,0.003404489491256221,0.3515418502202643,0.0011242469005457358,31,False
n70,HOG0002660,3,0.04720133667502088,0.0009142671084404528,0.36261738867009996,0.03303704971654991,58,False
n71,HOG0002661,2,0.022138680033416874,0.0003144632408163843,0.3423913043478261,0.005123412298117041,35,False
n72,HOG0002663,0,0.03634085213032581,0.0013989365209480422,0.34640428302705834,0.0012137935868561486,45,False
n73,HOG0002669,2,0.01086048454469507,0.0007902686491400102,0.32290261667116266,0.00019532740979918598,17,False
n74,HOG0002670,3,0.03467000835421888,0.002231052028750637,0.3547192176618758,0.019216627729841874,45,False
n75,HOG0002715,0,0.004594820384294068,1.5375523291198863e-05,0.3012457531143828,1.926283152217375e-05,11,False
n76,HOG0002735,0,0.029239766081871343,0.0016697765393340986,0.3492341356673961,0.00024374979487038306,41,False
n77,HOG0002736,3,0.0029239766081871343,7.25996576790815e-05,0.31599788806758183,0.002031567830502256,7,False
n78,HOG0002744,2,0.011695906432748537,0.0007716321858307361,0.3431766055045872,0.0026938337578463604,20,False
n79,HOG0002753,1,0.059314954051796154,0.00157775835139698,0.3617407071622847,0.0001685779842992836,45,False
n80,HOG0002771,0,0.042606516290726815,0.000753144331856141,0.35388026607538803,0.024353669458450373,48,False
n81,HOG0002803,3,0.004177109440267335,2.917908499572413e-05,0.30527926549349654,0.0006902585191445777,10,False
n82,HOG0002804,1,0.007518796992481203,0.00014919697026401533,0.30590339892665475,3.0734744812912505e-05,16,False
n83,HOG0002806,1,0.004594820384294068,0.0002844070976986614,0.3022345663426335,1.843399817249448e-05,10,False
n84,HOG0002826,1,0.022138680033416874,0.002002140102451407,0.34288169578917216,0.00019486025050675668,28,False
n85,HOG0002828,3,0.013366750208855471,0.00015588026479024922,0.3437185929648241,0.004869714583594368,27,False
n86,HOG0002829,1,0.012949039264828738,0.0013515746935972989,0.323776034622667,4.0937370935739886e-05,19,False
n87,HOG0002830,2,0.0020885547201336674,3.492337879789494e-06,0.29932483120780196,0.0003784283884602397,5,False
n88,HOG0002849,5,0.012949039264828738,0.00012364889349316711,0.3202247191011236,0.005192725437512085,26,False
n89,HOG0002850,1,0.01086048454469507,0.000799234139060061,0.3068837328547622,1.2381930995657352e-05,16,False
n90,HOG0002867,2,0.018379281537176273,0.0006975241699356157,0.33704068703364776,0.0027453647401565287,26,False
