HOG0020224	GO:0004843,GO:0005634,GO:0005737,GO:0007010,GO:0016477,GO:0030177,GO:0035523,GO:0070530,GO:0071947,GO:1990168
HOG0019595	GO:0004674
HOG0019298	GO:0031625
HOG0020068	GO:0005737,GO:0009143,GO:0047429
HOG0010308	GO:0005886,GO:0016020
HOG0005088	GO:0061630
HOG0017561	GO:0003735,GO:0005762,GO:0005840,GO:0006412
HOG0003520	GO:0007186,GO:0045028
HOG0001223	GO:0005615,GO:0030280,GO:0031424,GO:0045095,GO:0045109
HOG0019443	GO:0005737,GO:0045765
HOG0008802	GO:0005768,GO:0010008,GO:0034498,GO:0035091
HOG0021821	GO:0004252,GO:0005615,GO:0006508
HOG0003554	GO:0001664,GO:0002031,GO:0005737,GO:0007165
HOG0010647	GO:0000978,GO:0000981,GO:0006357,GO:0009653,GO:0030154
HOG0019892	GO:0005975,GO:0016857
HOG0020785	GO:0005737,GO:0051603
HOG0019515	GO:0005634,GO:0005737
HOG0003374	GO:0008080
HOG0019204	GO:0003723,GO:0005634,GO:0043066
HOG0009835	GO:0005758
HOG0018790	GO:0001735,GO:0030327
HOG0009873	GO:0005886,GO:0006812,GO:0015385,GO:0015386,GO:0016020,GO:0051453,GO:0071805,GO:0098719,GO:1902600
HOG0021296	GO:0005794,GO:0006486,GO:0015020,GO:0035269
HOG0010648	GO:0000978,GO:0000981,GO:0006357,GO:0009653,GO:0030154
HOG0018888	GO:0032088,GO:0033235,GO:1902073
HOG0021121	GO:0005523,GO:0005856,GO:0005865,GO:0006936,GO:0007015,GO:0030016,GO:0030239,GO:0051694
HOG0002202	GO:0007009
HOG0019238	GO:0005737,GO:0005739,GO:0016407,GO:0031405
HOG0019348	GO:0000978,GO:0000981,GO:0006357
HOG0019428	GO:0005886,GO:0006897,GO:0016197,GO:0031410,GO:0035091,GO:0036089,GO:0097320
HOG0008263	GO:0005794,GO:0006810,GO:0016020,GO:0032580,GO:0042147
HOG0013352	GO:0005783,GO:0005794,GO:0005886,GO:0016020,GO:0045332
HOG0019379	GO:0005680,GO:0007091,GO:0031145,GO:0060090,GO:0070979
HOG0019951	GO:0005829
HOG0009705	GO:0005886,GO:0006508,GO:0008239
HOG0006061	GO:0005096,GO:0005516,GO:0005938,GO:0051015,GO:1903479
HOG0019693	GO:0000179,GO:0005730,GO:0031167
HOG0021800	GO:0001786,GO:0005544,GO:0005634,GO:0005737,GO:0005886,GO:0012506
HOG0018711	GO:0005886,GO:0007219,GO:0007411,GO:0009986,GO:0043235
HOG0003099	GO:0005886,GO:0007169,GO:0007275,GO:0008284,GO:0009925,GO:0022008,GO:0033674,GO:0038131,GO:0038132,GO:0043066,GO:0043235
HOG0018161	GO:0005783,GO:0006505,GO:0006888,GO:0016788,GO:0050185
HOG0004238	GO:0030036,GO:0051015
HOG0010798	GO:0000978,GO:0000981,GO:0003677,GO:0006355,GO:0006357,GO:0048856
HOG0021221	GO:0005743,GO:0034551
HOG0019905	GO:0000145,GO:0006887,GO:0006893,GO:0008104
HOG0006515	GO:0004930,GO:0008142
HOG0019966	GO:0001816,GO:0002729,GO:0002891,GO:0009897,GO:0050839
HOG0002587	GO:0005272,GO:0005886,GO:0006814,GO:0015280,GO:0016020,GO:0035725
HOG0010393	GO:0005634,GO:0005739,GO:0007005,GO:0043565,GO:0045944
HOG0020588	GO:0005765,GO:0005774,GO:0061462,GO:0072665
HOG0020201	GO:0007271,GO:0034394,GO:0043005,GO:0043025,GO:0043231
HOG0019948	GO:0005634,GO:0006355,GO:0035064,GO:0045893
HOG0017970	GO:0000380,GO:0000381,GO:0003723,GO:0006376,GO:0071011,GO:0071013
HOG0019735	GO:0005911,GO:0005912,GO:0032880,GO:0050839
HOG0006781	GO:0016791,GO:0035630
HOG0020735	GO:0005102
HOG0019837	GO:0003743,GO:0005737,GO:0005852,GO:0006413
HOG0019371	GO:0001725,GO:0005737,GO:0005925,GO:0007165,GO:0007179,GO:0007229
HOG0018801	GO:0004802,GO:0005789,GO:0009052,GO:0030976,GO:0070062
HOG0020498	GO:0005102,GO:0005737,GO:0006621
HOG0008545	GO:0030991,GO:0035721,GO:0061512
HOG0004269	GO:0005886,GO:0007035,GO:0016471,GO:0033179,GO:0046961,GO:0051117,GO:1902600
HOG0006272	GO:0005886,GO:0017147,GO:0035567,GO:0042813,GO:0060070
HOG0007645	GO:0004478,GO:0005524,GO:0006556
HOG0003495	GO:0003700,GO:0006355,GO:0007165
HOG0006107	GO:0000978,GO:0000981,GO:0005634,GO:0006357,GO:0009952
HOG0019463	GO:0003729,GO:0003743,GO:0016281
HOG0002057	GO:0005874,GO:0007017
HOG0021012	GO:0002025,GO:0004930,GO:0004940,GO:0005886,GO:0043410,GO:0071880
HOG0020092	GO:0000226,GO:0004835,GO:0005876
HOG0005881	GO:0005267,GO:0005886,GO:0015271,GO:0016020,GO:0022841,GO:0030322,GO:0071805
HOG0010526	GO:0000981,GO:0003700,GO:0005634,GO:0007423,GO:0045944,GO:0061564,GO:0070888
HOG0018845	GO:0000123,GO:0005634,GO:0006325,GO:0006355,GO:0035267,GO:0072487
HOG0003958	GO:0005198,GO:0005856,GO:0030855,GO:0045109
HOG0019772	GO:0003723,GO:0004386,GO:0005622,GO:0071013
HOG0019963	GO:0004843,GO:0016320,GO:0016567,GO:0035871,GO:0071108,GO:0090168
HOG0019213	GO:0006606
HOG0020929	GO:0005829,GO:0006450,GO:0030544,GO:0043022,GO:0051083
HOG0010799	GO:0000978,GO:0000981,GO:0003677,GO:0006355,GO:0006357,GO:0048856
HOG0019308	GO:0000445,GO:0006406
HOG0018813	GO:0016020
HOG0021536	GO:0000281,GO:0005737,GO:0005813,GO:0005819,GO:0016020,GO:0030496
HOG0009608	GO:0001665,GO:0006493,GO:0016740
HOG0021485	GO:0005737
HOG0002850	GO:0016460
HOG0002567	GO:0003723,GO:0005829,GO:0016607,GO:0043484,GO:0051018
HOG0019010	GO:0000309,GO:0004515,GO:0005794,GO:0009435
HOG0019967	GO:0005509,GO:0005634,GO:0005829,GO:0030425,GO:0043005,GO:0043195,GO:0045202,GO:0051480,GO:0099509,GO:1900271
HOG0019627	GO:0005737,GO:0006511,GO:0031624,GO:0043130
HOG0020189	GO:0000783,GO:0003691,GO:0003720,GO:0007004,GO:0008017,GO:0008156,GO:0008301,GO:0071532,GO:0098505,GO:1905778,GO:1905839
HOG0020585	GO:0005125,GO:0005576,GO:0005615
HOG0002804	GO:0000978,GO:0000981,GO:0006357
